company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Comcores,Paragraf,semiconductor,2014-01-01,$1M,11-50,0.0,1.0,Denmark,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Ateeda,Satin Technologies,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,3.0,United Kingdom,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
ActLight,MMB Networks,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,0
MTPV,BiTMICRO Networks Inc,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Telink,GreenRay Solar,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Scintera Networks,Keyotee,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
SponDoolies-Tech,Octasic,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Alien Technology,Kionix,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,semiconductor,2000-01-01,$50M to $100M,101-500,0.0,2.0,United States,0.0,0
Plunify,Quintic,semiconductor,2009-11-09,$1M to $10M,11-50,0.0,3.0,Singapore,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
VSORA,Unispectral,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,0
Indice Semiconductor,Flex Logix Technologies  Inc.,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,0
AltraTech,Phoseon Technology,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,0
Unispectral,Vayyar,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Israel,0.0,0
UbiQD,Revasum,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Oxford PV,SponDoolies-Tech,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
Think Silicon S.A.,Multiphoton Optics GmbH,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,0
Nanotron Technologies,Particle,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,0
Qualtera,Cavendish Kinetics,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,0
H2OPTX,Translarity,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Nantero,Oryx Vision,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,0
Inpria Corporation,AltraTech,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,0
Silicon Wave,GreenRay Solar,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
eSilicon,Palma Ceia SemiDesign  Inc.,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Humavox Wireless Charging,SVXR,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Alereon,Elenion Technologies LLC,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,0
TeraView,Active-Semi International Inc.,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,semiconductor,2004-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
TeraView,ActLight,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,0
MMB Networks,Keyotee,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Orthogonal,Pixpolar,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2006-01-01,$1M,01-10,0.0,1.0,Finland,0.0,0
ACME Advanced Materials,Kionix,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2000-01-01,$50M to $100M,101-500,0.0,2.0,United States,0.0,0
CNEX Labs,Lynx Software Technologies,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
EpiCrystals,Open-Silicon,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
Movellus,Ikon Semiconductor,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
EoPlex Technologies,Ikon Semiconductor,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
AGLOGIC,Sensichips,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2013-08-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
Luxcore,Cavendish Kinetics,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,0
NextInput,Cambridge Consultants,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,11.0,United States,0.0,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
Humavox Wireless Charging,NplusT,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
Indice Semiconductor,Integrated Detector Electronics SA,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,0
GrAI Matter Labs,Inpria Corporation,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Blu Wireless,TRINAMIC Motion Control,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,11.0,United Kingdom,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
Chelsio Communications,Lynx Software Technologies,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,13.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
BitWave,Kionix,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2000-01-01,$50M to $100M,101-500,0.0,2.0,United States,0.0,0
TriLumina Corp,AltraTech,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,0
Coherix,NXTSENS Microsystems,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,0
Saphlux,Semitech Semiconductor,semiconductor,2014-01-01,$1M,11-50,0.0,8.0,United States,0.0,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,0
Open Silicon,Scifiniti,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Quintic,DensBits Technologies,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,semiconductor,2007-01-01,$10M to $50M,51-100,0.0,3.0,Israel,0.0,0
Inpria Corporation,Lytid,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,0
Ascatron,EpiCrystals,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Translarity,Tactus Technology,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,0
EpiGaN,SponDoolies-Tech,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
Saphlux,Singulus Technologies AG,semiconductor,2014-01-01,$1M,11-50,0.0,8.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
Sckipio Technologies,Coherix,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Movellus,GCT Semiconductor,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Phoseon Technology,Ferroelectric Memory Company,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,0
SuVolta,Teklatech,semiconductor,2006-01-01,$1M to $10M,51-100,0.0,6.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,0
CISSOID,AZZURRO Semiconductors,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,0
Satin Technologies,eoSemi,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,4.0,United Kingdom,0.0,0
XMOS,Phoseon Technology,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,12.0,United Kingdom,0.0,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,0
eoSemi,Gigoptix,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,4.0,United Kingdom,0.0,semiconductor,2001-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,0
Movellus,NXTSENS Microsystems,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,0
Oryx Vision,Credo Semiconductor,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
e-peas,Alereon,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,0
Lyncean Technologies,Satin Technologies,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Lynx Software Technologies,GrAI Matter Labs,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,0
Tactus Technology,Silicon Wave,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,0
Beneq,Fortemedia,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,3.0,Finland,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
Kyma Technologies,GaN Systems,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2008-01-01,$10M to $50M,11-50,0.0,7.0,Canada,0.0,0
AZZURRO Semiconductors,Amalfi Semiconductor,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,semiconductor,2003-01-01,$1M to $10M,51-100,0.0,4.0,United States,0.0,0
SponDoolies-Tech,Hailo,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,semiconductor,2017-02-02,$1M to $10M,51-100,0.0,7.0,Israel,0.0,0
TimeSys Corporation,Exnodes Inc.,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,0
eSilicon,Cooledge Lighting,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Multiphoton Optics GmbH,NXTSENS Microsystems,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,0
Poly-Flow Engineering,Widetronix,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,0
Engim,Indice Semiconductor,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Credo Semiconductor,EpiCrystals,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Active-Semi International Inc.,Scientific Visual,semiconductor,2004-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,1.0,Switzerland,0.0,0
GreenRay Solar,Luxera,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Fortemedia,Skorpios Technologies,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,0
Think Silicon S.A.,Celeno,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,semiconductor,2005-01-01,$10M to $50M,51-100,0.0,12.0,Israel,0.0,0
Kandou Bus SA,Open Silicon,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,10.0,Switzerland,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
H2OPTX,Fortemedia,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
Bantam Tools,Cooledge Lighting,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
H2OPTX,Intel,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,0
Inpria Corporation,PSI Semicon Services,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,1946-01-01,$1M to $10M,1001-5000,0.0,1.0,United States,0.0,0
Lytid,FSI International,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,0
Intel,Poly-Flow Engineering,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Semitech Semiconductor,TimeSys Corporation,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Kalray,Microlytic,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,8.0,France,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Flex Logix Technologies  Inc.,Sensichips,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,semiconductor,2013-08-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
SVXR,Teklatech,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,0
Pixpolar,MTPV,semiconductor,2006-01-01,$1M,01-10,0.0,1.0,Finland,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,0
Tempow,Coherix,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Dover Microsystems,Active-Semi International Inc.,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2004-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Triad Semiconductor,A-1 Machine Manufacturing,semiconductor,2002-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,semiconductor,1977-01-01,$50M to $100M,01-10,0.0,1.0,United States,0.0,0
ScandiNova,EoPlex Technologies,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
SatixFy,Coherix,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
ActLight,Humavox Wireless Charging,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,0
Codasip,CLK Design Automation,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,0
Tsinghua Unigroup,Silicon Wave,semiconductor,1988-01-01,$500M to $1B,10001+,0.0,1.0,China,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,0
Skorpios Technologies,Think Silicon S.A.,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,0
Oxford PV,Eblana Photonics,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Matrix Industries,BlueShift Technologies,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
Open-Silicon,SmartKem,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
FocalSpec Ltd,EpiCrystals,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Telink,MMB Networks,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,0
TeraView,e-peas,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,0
Orthogonal,Surrey NanoSystems,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,0
D2S,Particle,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,0
Satin Technologies,MTPV,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,0
NXTSENS Microsystems,Helyssen,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,2003-01-01,$1M,01-10,0.0,1.0,Switzerland,0.0,0
SVXR,NXTSENS Microsystems,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,0
Telink,Netronome Systems,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Impedans,BlueShift Technologies,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
BitWave,ActLight,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,0
CNEX Labs,MTPV,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,0
AnDAPT,AGLOGIC,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,0
TimeSys Corporation,FSI International,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,0
Reveal Design Automation,Netronome Systems,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Rockley Photonics,Tela Innovations,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
VSORA,Lynx Software Technologies,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Vectron International,Wiliot,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2017-01-01,$1M to $10M,11-50,0.0,8.0,Israel,0.0,0
Nantero,Eagleyard Photonics GmbH,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
AGLOGIC,Eagleyard Photonics GmbH,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Polymer Holding Corporation,Ikon Semiconductor,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
Polymer Holding Corporation,Skorpios Technologies,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,0
Alien Technology,Oree Advanced Illumination Solutions,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,Israel,0.0,0
GreenRay Solar,GCT Semiconductor,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Amalfi Semiconductor,Phoseon Technology,semiconductor,2003-01-01,$1M to $10M,51-100,0.0,4.0,United States,0.0,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,0
AGLOGIC,TriLumina Corp,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Ferfics,ASIC Engineering Corporation,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,1996-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Nanotronics Imaging,Wave Computing,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
ENrG,ACME Advanced Materials,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Viviota,GCT Semiconductor,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Brolis Semiconductors,Wave Computing,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
FocalSpec Ltd,Open-Silicon,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
Keyotee,Quintic,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
Uhnder,Quintic,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
Phoseon Technology,HexaTech,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
BlueShift Technologies,Oryx Vision,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,0
